codepage;CollationID;name;description
1257;-1644113890;SQL_Latvian_CP1257_CI_AS;Latvian, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 158 on Code Page 1257 for non-Unicode Data
1257;-1627340769;SQL_Lithuanian_CP1257_CS_AS;Lithuanian, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 159 on Code Page 1257 for non-Unicode Data
1257;-1610559457;SQL_Lithuanian_CP1257_CI_AS;Lithuanian, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 160 on Code Page 1257 for non-Unicode Data
1252;-1224683515;SQL_Danish_Pref_CP1_CI_AS;Danish-Norwegian, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 183 on Code Page 1252 for non-Unicode Data
1252;-1207906294;SQL_SwedishPhone_Pref_CP1_CI_AS;Finnish-Swedish, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 184 on Code Page 1252 for non-Unicode Data
1252;-1191129078;SQL_SwedishStd_Pref_CP1_CI_AS;Finnish-Swedish, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 185 on Code Page 1252 for non-Unicode Data
1252;-1174351858;SQL_Icelandic_Pref_CP1_CI_AS;Icelandic, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 186 on Code Page 1252 for non-Unicode Data
1252;-771702776;SQL_EBCDIC037_CP1_CS_AS;Latin1-General, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 210 on Code Page 1252 for non-Unicode Data
1252;-754925527;SQL_EBCDIC273_CP1_CS_AS;German-PhoneBook, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 211 on Code Page 1252 for non-Unicode Data
1252;-738148347;SQL_EBCDIC277_CP1_CS_AS;Danish-Norwegian, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 212 on Code Page 1252 for non-Unicode Data
1252;-721371126;SQL_EBCDIC278_CP1_CS_AS;Finnish-Swedish, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 213 on Code Page 1252 for non-Unicode Data
1252;-704593912;SQL_EBCDIC280_CP1_CS_AS;Latin1-General, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 214 on Code Page 1252 for non-Unicode Data
1252;-687816664;SQL_EBCDIC284_CP1_CS_AS;Modern-Spanish, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 215 on Code Page 1252 for non-Unicode Data
1252;-671039480;SQL_EBCDIC285_CP1_CS_AS;Latin1-General, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 216 on Code Page 1252 for non-Unicode Data
1252;-654262261;SQL_EBCDIC297_CP1_CS_AS;French, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 217 on Code Page 1252 for non-Unicode Data
1252;-637485051;SQL_EBCDIC277_2_CP1_CS_AS;Danish-Norwegian, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 218 on Code Page 1252 for non-Unicode Data
1252;-620707799;SQL_EBCDIC1141_CP1_CS_AS;German-PhoneBook, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive for Unicode Data, SQL Server Sort Order 219 on Code Page 1252 for non-Unicode Data
1256;1;Arabic_CS_AS_KS_WS;Arabic, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
950;3;Chinese_Taiwan_Stroke_CS_AS_KS_WS;Chinese-Taiwan-Stroke, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;4;Czech_CS_AS_KS_WS;Czech, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;5;Danish_Norwegian_CS_AS_KS_WS;Danish-Norwegian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1253;7;Greek_CS_AS_KS_WS;Greek, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;8;Latin1_General_CS_AS_KS_WS;Latin1-General, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;9;Traditional_Spanish_CS_AS_KS_WS;Traditional-Spanish, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;10;Finnish_Swedish_CS_AS_KS_WS;Finnish-Swedish, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;11;French_CS_AS_KS_WS;French, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1255;12;Hebrew_CS_AS_KS_WS;Hebrew, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;13;Hungarian_CS_AS_KS_WS;Hungarian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;14;Icelandic_CS_AS_KS_WS;Icelandic, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
932;16;Japanese_CS_AS_KS_WS;Japanese, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
949;17;Korean_Wansung_CS_AS_KS_WS;Korean-Wansung, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;19;Polish_CS_AS_KS_WS;Polish, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;20;Romanian_CS_AS_KS_WS;Romanian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1251;21;Cyrillic_General_CS_AS_KS_WS;Cyrillic-General, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;22;Croatian_CS_AS_KS_WS;Croatian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;23;Slovak_CS_AS_KS_WS;Slovak, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;24;Albanian_CS_AS_KS_WS;Albanian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
874;25;Thai_CS_AS_KS_WS;Thai, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1254;26;Turkish_CS_AS_KS_WS;Turkish, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1251;27;Ukrainian_CS_AS_KS_WS;Ukrainian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;28;Slovenian_CS_AS_KS_WS;Slovenian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1257;29;Estonian_CS_AS_KS_WS;Estonian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1257;30;Latvian_CS_AS_KS_WS;Latvian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1257;31;Lithuanian_CS_AS_KS_WS;Lithuanian, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1258;32;Vietnamese_CS_AS_KS_WS;Vietnamese, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
936;36;Chinese_PRC_CS_AS_KS_WS;Chinese-PRC, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;40;Modern_Spanish_CS_AS_KS_WS;Modern-Spanish, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;41;German_PhoneBook_CS_AS_KS_WS;German-PhoneBook, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;42;Hungarian_Technical_CS_AS_KS_WS;Hungarian-Technical, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
932;43;Japanese_Unicode_CS_AS_KS_WS;Japanese-Unicode, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;45;Georgian_Modern_Sort_CS_AS_KS_WS;Georgian-Modern-Sort, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
936;46;Chinese_PRC_Stroke_CS_AS_KS_WS;Chinese-PRC-Stroke, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
950;47;Chinese_Taiwan_Bopomofo_CS_AS_KS_WS;Chinese-Taiwan-Bopomofo, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1256;2049;Arabic_BIN2;Arabic, binary code point comparison sort
950;2051;Chinese_Taiwan_Stroke_BIN2;Chinese-Taiwan-Stroke, binary code point comparison sort
1250;2052;Czech_BIN2;Czech, binary code point comparison sort
1252;2053;Danish_Norwegian_BIN2;Danish-Norwegian, binary code point comparison sort
1253;2055;Greek_BIN2;Greek, binary code point comparison sort
1252;2056;Latin1_General_BIN2;Latin1-General, binary code point comparison sort
1252;2057;Traditional_Spanish_BIN2;Traditional-Spanish, binary code point comparison sort
1252;2058;Finnish_Swedish_BIN2;Finnish-Swedish, binary code point comparison sort
1252;2059;French_BIN2;French, binary code point comparison sort
1255;2060;Hebrew_BIN2;Hebrew, binary code point comparison sort
1250;2061;Hungarian_BIN2;Hungarian, binary code point comparison sort
1252;2062;Icelandic_BIN2;Icelandic, binary code point comparison sort
932;2064;Japanese_BIN2;Japanese, binary code point comparison sort
949;2065;Korean_Wansung_BIN2;Korean-Wansung, binary code point comparison sort
1250;2067;Polish_BIN2;Polish, binary code point comparison sort
1250;2068;Romanian_BIN2;Romanian, binary code point comparison sort
1251;2069;Cyrillic_General_BIN2;Cyrillic-General, binary code point comparison sort
1250;2070;Croatian_BIN2;Croatian, binary code point comparison sort
1250;2071;Slovak_BIN2;Slovak, binary code point comparison sort
1250;2072;Albanian_BIN2;Albanian, binary code point comparison sort
874;2073;Thai_BIN2;Thai, binary code point comparison sort
1254;2074;Turkish_BIN2;Turkish, binary code point comparison sort
1251;2075;Ukrainian_BIN2;Ukrainian, binary code point comparison sort
1250;2076;Slovenian_BIN2;Slovenian, binary code point comparison sort
1257;2077;Estonian_BIN2;Estonian, binary code point comparison sort
1257;2078;Latvian_BIN2;Latvian, binary code point comparison sort
1257;2079;Lithuanian_BIN2;Lithuanian, binary code point comparison sort
1258;2080;Vietnamese_BIN2;Vietnamese, binary code point comparison sort
936;2084;Chinese_PRC_BIN2;Chinese-PRC, binary code point comparison sort
1252;2088;Modern_Spanish_BIN2;Modern-Spanish, binary code point comparison sort
1252;2089;German_PhoneBook_BIN2;German-PhoneBook, binary code point comparison sort
1250;2090;Hungarian_Technical_BIN2;Hungarian-Technical, binary code point comparison sort
932;2091;Japanese_Unicode_BIN2;Japanese-Unicode, binary code point comparison sort
1252;2093;Georgian_Modern_Sort_BIN2;Georgian-Modern-Sort, binary code point comparison sort
936;2094;Chinese_PRC_Stroke_BIN2;Chinese-PRC-Stroke, binary code point comparison sort
950;2095;Chinese_Taiwan_Bopomofo_BIN2;Chinese-Taiwan-Bopomofo, binary code point comparison sort
1256;4097;Arabic_CI_AS_KS_WS;Arabic, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
950;4099;Chinese_Taiwan_Stroke_CI_AS_KS_WS;Chinese-Taiwan-Stroke, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;4100;Czech_CI_AS_KS_WS;Czech, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;4101;Danish_Norwegian_CI_AS_KS_WS;Danish-Norwegian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1253;4103;Greek_CI_AS_KS_WS;Greek, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;4104;Latin1_General_CI_AS_KS_WS;Latin1-General, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;4105;Traditional_Spanish_CI_AS_KS_WS;Traditional-Spanish, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;4106;Finnish_Swedish_CI_AS_KS_WS;Finnish-Swedish, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;4107;French_CI_AS_KS_WS;French, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1255;4108;Hebrew_CI_AS_KS_WS;Hebrew, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;4109;Hungarian_CI_AS_KS_WS;Hungarian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;4110;Icelandic_CI_AS_KS_WS;Icelandic, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
932;4112;Japanese_CI_AS_KS_WS;Japanese, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
949;4113;Korean_Wansung_CI_AS_KS_WS;Korean-Wansung, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;4115;Polish_CI_AS_KS_WS;Polish, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;4116;Romanian_CI_AS_KS_WS;Romanian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1251;4117;Cyrillic_General_CI_AS_KS_WS;Cyrillic-General, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;4118;Croatian_CI_AS_KS_WS;Croatian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;4119;Slovak_CI_AS_KS_WS;Slovak, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;4120;Albanian_CI_AS_KS_WS;Albanian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
874;4121;Thai_CI_AS_KS_WS;Thai, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1254;4122;Turkish_CI_AS_KS_WS;Turkish, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1251;4123;Ukrainian_CI_AS_KS_WS;Ukrainian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;4124;Slovenian_CI_AS_KS_WS;Slovenian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1257;4125;Estonian_CI_AS_KS_WS;Estonian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1257;4126;Latvian_CI_AS_KS_WS;Latvian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1257;4127;Lithuanian_CI_AS_KS_WS;Lithuanian, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1258;4128;Vietnamese_CI_AS_KS_WS;Vietnamese, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
936;4132;Chinese_PRC_CI_AS_KS_WS;Chinese-PRC, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;4136;Modern_Spanish_CI_AS_KS_WS;Modern-Spanish, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;4137;German_PhoneBook_CI_AS_KS_WS;German-PhoneBook, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1250;4138;Hungarian_Technical_CI_AS_KS_WS;Hungarian-Technical, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
932;4139;Japanese_Unicode_CI_AS_KS_WS;Japanese-Unicode, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1252;4141;Georgian_Modern_Sort_CI_AS_KS_WS;Georgian-Modern-Sort, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
936;4142;Chinese_PRC_Stroke_CI_AS_KS_WS;Chinese-PRC-Stroke, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
950;4143;Chinese_Taiwan_Bopomofo_CI_AS_KS_WS;Chinese-Taiwan-Bopomofo, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
1256;8193;Arabic_CS_AI_KS_WS;Arabic, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
950;8195;Chinese_Taiwan_Stroke_CS_AI_KS_WS;Chinese-Taiwan-Stroke, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;8196;Czech_CS_AI_KS_WS;Czech, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;8197;Danish_Norwegian_CS_AI_KS_WS;Danish-Norwegian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1253;8199;Greek_CS_AI_KS_WS;Greek, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;8200;Latin1_General_CS_AI_KS_WS;Latin1-General, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;8201;Traditional_Spanish_CS_AI_KS_WS;Traditional-Spanish, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;8202;Finnish_Swedish_CS_AI_KS_WS;Finnish-Swedish, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;8203;French_CS_AI_KS_WS;French, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1255;8204;Hebrew_CS_AI_KS_WS;Hebrew, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;8205;Hungarian_CS_AI_KS_WS;Hungarian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;8206;Icelandic_CS_AI_KS_WS;Icelandic, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
932;8208;Japanese_CS_AI_KS_WS;Japanese, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
949;8209;Korean_Wansung_CS_AI_KS_WS;Korean-Wansung, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;8211;Polish_CS_AI_KS_WS;Polish, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;8212;Romanian_CS_AI_KS_WS;Romanian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1251;8213;Cyrillic_General_CS_AI_KS_WS;Cyrillic-General, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;8214;Croatian_CS_AI_KS_WS;Croatian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;8215;Slovak_CS_AI_KS_WS;Slovak, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;8216;Albanian_CS_AI_KS_WS;Albanian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
874;8217;Thai_CS_AI_KS_WS;Thai, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1254;8218;Turkish_CS_AI_KS_WS;Turkish, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1251;8219;Ukrainian_CS_AI_KS_WS;Ukrainian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;8220;Slovenian_CS_AI_KS_WS;Slovenian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1257;8221;Estonian_CS_AI_KS_WS;Estonian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1257;8222;Latvian_CS_AI_KS_WS;Latvian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1257;8223;Lithuanian_CS_AI_KS_WS;Lithuanian, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1258;8224;Vietnamese_CS_AI_KS_WS;Vietnamese, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
936;8228;Chinese_PRC_CS_AI_KS_WS;Chinese-PRC, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;8232;Modern_Spanish_CS_AI_KS_WS;Modern-Spanish, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;8233;German_PhoneBook_CS_AI_KS_WS;German-PhoneBook, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;8234;Hungarian_Technical_CS_AI_KS_WS;Hungarian-Technical, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
932;8235;Japanese_Unicode_CS_AI_KS_WS;Japanese-Unicode, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;8237;Georgian_Modern_Sort_CS_AI_KS_WS;Georgian-Modern-Sort, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
936;8238;Chinese_PRC_Stroke_CS_AI_KS_WS;Chinese-PRC-Stroke, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
950;8239;Chinese_Taiwan_Bopomofo_CS_AI_KS_WS;Chinese-Taiwan-Bopomofo, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1256;12289;Arabic_CI_AI_KS_WS;Arabic, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
950;12291;Chinese_Taiwan_Stroke_CI_AI_KS_WS;Chinese-Taiwan-Stroke, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;12292;Czech_CI_AI_KS_WS;Czech, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;12293;Danish_Norwegian_CI_AI_KS_WS;Danish-Norwegian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1253;12295;Greek_CI_AI_KS_WS;Greek, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;12296;Latin1_General_CI_AI_KS_WS;Latin1-General, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;12297;Traditional_Spanish_CI_AI_KS_WS;Traditional-Spanish, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;12298;Finnish_Swedish_CI_AI_KS_WS;Finnish-Swedish, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;12299;French_CI_AI_KS_WS;French, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1255;12300;Hebrew_CI_AI_KS_WS;Hebrew, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;12301;Hungarian_CI_AI_KS_WS;Hungarian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;12302;Icelandic_CI_AI_KS_WS;Icelandic, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
932;12304;Japanese_CI_AI_KS_WS;Japanese, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
949;12305;Korean_Wansung_CI_AI_KS_WS;Korean-Wansung, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;12307;Polish_CI_AI_KS_WS;Polish, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;12308;Romanian_CI_AI_KS_WS;Romanian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1251;12309;Cyrillic_General_CI_AI_KS_WS;Cyrillic-General, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;12310;Croatian_CI_AI_KS_WS;Croatian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;12311;Slovak_CI_AI_KS_WS;Slovak, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;12312;Albanian_CI_AI_KS_WS;Albanian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
874;12313;Thai_CI_AI_KS_WS;Thai, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1254;12314;Turkish_CI_AI_KS_WS;Turkish, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1251;12315;Ukrainian_CI_AI_KS_WS;Ukrainian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;12316;Slovenian_CI_AI_KS_WS;Slovenian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1257;12317;Estonian_CI_AI_KS_WS;Estonian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1257;12318;Latvian_CI_AI_KS_WS;Latvian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1257;12319;Lithuanian_CI_AI_KS_WS;Lithuanian, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1258;12320;Vietnamese_CI_AI_KS_WS;Vietnamese, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
936;12324;Chinese_PRC_CI_AI_KS_WS;Chinese-PRC, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;12328;Modern_Spanish_CI_AI_KS_WS;Modern-Spanish, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;12329;German_PhoneBook_CI_AI_KS_WS;German-PhoneBook, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1250;12330;Hungarian_Technical_CI_AI_KS_WS;Hungarian-Technical, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
932;12331;Japanese_Unicode_CI_AI_KS_WS;Japanese-Unicode, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1252;12333;Georgian_Modern_Sort_CI_AI_KS_WS;Georgian-Modern-Sort, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
936;12334;Chinese_PRC_Stroke_CI_AI_KS_WS;Chinese-PRC-Stroke, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
950;12335;Chinese_Taiwan_Bopomofo_CI_AI_KS_WS;Chinese-Taiwan-Bopomofo, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
1256;16385;Arabic_CS_AS_WS;Arabic, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
950;16387;Chinese_Taiwan_Stroke_CS_AS_WS;Chinese-Taiwan-Stroke, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
1250;16388;Czech_CS_AS_WS;Czech, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
1252;16389;Danish_Norwegian_CS_AS_WS;Danish-Norwegian, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
1253;16391;Greek_CS_AS_WS;Greek, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
